"predictor","cluster","IRR","ci_low","ci_high","p_IRR_gt_1","cluster_label","vulnerability_score","n.x","pct_white","pct_black","pct_asian","pct_hispanic","poverty_rate","renter_burden_rate","housing_overcrowding","median_income","education_low","pct_age17","no_phone_rate","pct_age65","uninsured_rate","language_isolation","disability_rate","outdoor_worker_rate","unemployment_rate","elderly_alone_rate","alt_housing_rate","old_housing_rate","n.y"
"cluster",5,2.11667922889049,1.75771826766059,2.54894635000964,0.999999811444573,"White / Older / Mid-low income",0.472876382876383,9,0.672239637756879,0.0125391849529781,0.0107976314872867,0.238618274434893,0.139469226425748,0.515859766277129,0,57833,0.122802850356295,0.208978328173375,0.00734618916437098,0.172134551495017,0.0614011720831113,0.0221870047543582,0.1717605858007,0.0905096660808436,0.0626029654036244,0.260554885404101,0.0834487534626039,0.487993487993488,9
"cluster",6,1,1,1,NA,"White / Older / High income",0.249322991822992,45,0.711632576232903,0.0195966359108353,0.0806737864682256,0.0954323255596724,0.0699300699300699,0.454779727573935,0.000799041150619257,103278,0.0314042553191489,0.175703387745058,0.0115316901408451,0.173154307300649,0.0402250476232667,0.0221505677835413,0.0812000987735616,0.0313296903460838,0.0523255813953488,0.282804358124112,0.00159721213881226,0.76294872914665,45
"cluster",8,0.913495401154505,0.830013058106835,1.00537435978165,0.0318636222044377,"White / Low income",0.55972582972583,12,0.402918914033787,0.20347887257081,0.110385223020683,0.260440360353315,0.228573323165678,0.601154473740477,0.00835802891989695,43022,0.184934518858656,0.121194107954371,0.0265252890132768,0.163375966049723,0.10646702431473,0.0973189518051742,0.163062177439174,0.0488920154766092,0.0963441308197063,0.405531030381101,0.00135339974014725,0.768674538941223,12
"cluster",9,0.814471529128292,0.762966936158451,0.869452916082733,0,"White / High income",0.383938738029647,33,0.505410137835047,0.0424542305789213,0.117855545232442,0.260390895596239,0.0737955582293077,0.48833746898263,0.00189859280768372,92500,0.0749284602640695,0.206893552875696,0.015378221113882,0.155451261100044,0.0479429971627547,0.0310220594749432,0.101689885906737,0.0540673142969287,0.050088333442387,0.210863438380733,0.0185050269561416,0.768569866437554,33
"cluster",2,0.813538967073211,0.744670348185943,0.888776590675368,0,"White / Mid-low income",0.383901515151515,14,0.663516946847642,0.0300839694003905,0.0853563333538669,0.154306855550645,0.124960953588969,0.553906664871617,0.00390082711982448,68996.5,0.0874429127614581,0.173646962233169,0.0155263701821864,0.166294888903708,0.0806813574157684,0.0945247978103534,0.11382909737991,0.0426380182457073,0.074148002402026,0.26192054018869,0.00132636095231219,0.775770726444049,14
"cluster",11,0.782018988555625,0.731067116130852,0.836521900036285,0,"Hispanic / Mid-high income",0.507427601134498,29,0.22082119205298,0.0297494780793319,0.150934468890466,0.447777231978386,0.0961526623576485,0.520402611534276,0.00619469026548673,79500,0.145054849001355,0.216771273643312,0.0143915244702794,0.144095916471265,0.0775989957777017,0.0941413170775652,0.100092181705147,0.0622792022792023,0.0662214562688496,0.18994928538497,0.0227998678268532,0.785401065911084,29
"cluster",12,0.766911347937263,0.695793018391372,0.845298919656294,0,"White / Mid-high income",0.369262101534829,11,0.415349311575727,0.055593451568895,0.16438968097383,0.282352425610237,0.112133982022391,0.468323586744639,0.00786063309963884,75825,0.0863870180834703,0.161926464788115,0.0184573625876499,0.137721691678035,0.0721653798673446,0.0578382064615122,0.0912642045454545,0.0276005888125613,0.050748414112059,0.319633259563705,0.00273707937530188,0.742638122838179,11
"cluster",4,0.746418826151188,0.688869979059302,0.808775313038088,0,"Hispanic / Younger / Low income",0.676160894660895,15,0.144298106000318,0.08868077786803,0.0325437297801173,0.63850207554391,0.19955038349643,0.58716020821284,0.00795334040296925,49853,0.27728006041259,0.298198671699556,0.0198359364137739,0.110199118407053,0.10393128510076,0.117427024827945,0.122221572297613,0.110715041999012,0.090130457194972,0.189322787938705,0.0559171913349696,0.374030522892169,15
"cluster",14,0.691940221303408,0.641454737737283,0.746399030235867,0,"Asian & White / Older / High income",0.339931129476584,22,0.405925255480775,0.0263023193544353,0.339593975194936,0.144303611825554,0.0649901662501183,0.496211524823849,0.00278529311011482,99487,0.0688446824218759,0.211965919374101,0.0106334907812761,0.178785645483109,0.0489927455237846,0.064501180701802,0.0866599159880707,0.037524896775596,0.0450190998956972,0.173755064300444,0.001527279351664,0.807462092277626,22
"cluster",3,0.643481720852034,0.603682988710857,0.685904162690732,0,"Hispanic / Mid-low income",0.585511841100076,34,0.241646672623105,0.0591300141909403,0.142585467214121,0.475882620044695,0.166845558074461,0.577984872281489,0.0113218507879072,60115,0.215080028349927,0.216683431576451,0.021218936023847,0.119352414753211,0.114574874655665,0.127909545284795,0.0997708830882119,0.06345540140562,0.0634939868571437,0.238590237136301,0.0051481639252387,0.757243766542156,34
"cluster",10,0.619436060678349,0.556636128803794,0.689321038119702,0,"Asian / Older / Mid-low income",0.540344967532468,8,0.0798932095216068,0.00555714840376822,0.61274714742483,0.288105309344905,0.136778748706412,0.567858619267666,0.00389644059246162,58046.5,0.198438555215788,0.178441673658017,0.0194555878755331,0.170857560531321,0.0789679779525164,0.232122286840944,0.0894114415374854,0.0466770198486343,0.0506456297452991,0.137417226179459,0.00434909605810197,0.748120108744698,8
"cluster",1,0.595625727993301,0.561967420052563,0.631299933853231,0,"Hispanic / Younger / Low income",0.752347423818012,51,0.0369412201146115,0.0577729573391179,0.0270407565159626,0.729083552612964,0.243026883504812,0.606976019931486,0.0254568809482104,42581,0.412262270351813,0.261975383609314,0.0240405193322871,0.0927403659011288,0.168045120693646,0.228564326143491,0.0971013302676959,0.083031510322347,0.0832364000324614,0.212137780207764,0.00455988925983226,0.817635817635818,51
"cluster",7,0.581041702269063,0.467686466345031,0.721870977671749,0,"White / Mid-low income",0.301952690166976,7,0.427498705334024,0.069135163127913,0.25839653304442,0.136904761904762,0.224430944983487,0.575136738666914,0.00218642117376295,63306,0,0.027964785085448,0.0188610587703017,0,0.0333838179042394,0.00665399239543726,0.033777129864193,0.00922509225092251,0.0904158347078739,0.41203007518797,0.000334293355276692,0.517002216994254,7
"cluster",13,0.575790074221222,0.534972272204203,0.619722113695535,0,"Hispanic / Mid-low income",0.676978810663021,19,0.0716083384776105,0.0149146802136251,0.11177663993817,0.752703899003118,0.141281548922439,0.5586919635971,0.0192053709002862,60360,0.287253782472167,0.239444209229822,0.015742718992466,0.115238058581271,0.131468754266988,0.181108243922314,0.099601869962684,0.0802162693536495,0.0620253898324735,0.152851063829787,0.0175943810359965,0.839261529688502,19
